City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,birjand,32.8663,59.2211,35.26,7,0,7.2,IR,1690879073
198,thompson,55.7435,-97.8558,16.09,94,75,1.54,CA,1690879073
199,ostrovnoy,68.0531,39.5131,21.91,63,24,3.68,RU,1690879073
200,hambantota,6.1241,81.1185,36.19,49,20,9.26,LK,1690878905
201,san ramon,37.7799,-121.978,17.07,84,0,2.06,US,1690878913
202,luderitz,-26.6481,15.1594,20.06,28,0,6.22,NA,1690879074
203,touros,-5.1989,-35.4608,21.7,92,13,4.5,BR,1690879074
204,marsa matruh,31.3525,27.2453,30.11,62,40,3.6,EG,1690879074
205,kamenka,51.3223,42.7678,26.97,43,13,1.91,RU,1690879074
206,mersing,2.4312,103.8405,31.95,74,40,5.14,MY,1690879074
207,komsomolskiy,40.4272,71.7189,35.4,23,0,4.12,UZ,1690878914
208,chernyy yar,48.0624,46.1091,34.56,20,7,3.34,RU,1690879075
209,jalu,29.0331,21.5482,32.99,33,0,2.99,LY,1690879075
210,safford,32.834,-109.7076,26.17,68,0,3.09,US,1690878915
211,talnakh,69.4865,88.3972,28.66,44,5,1.33,RU,1690879075
212,shingu,33.7333,135.9833,28.46,78,17,2.43,JP,1690878783
213,cayenne,4.9333,-52.3333,25.02,94,0,0.0,GF,1690879075
214,koslan,63.4564,48.8989,28.34,35,30,3.71,RU,1690878916
215,great falls,47.5002,-111.3008,24.25,30,0,4.12,US,1690879076
216,eyl,7.9803,49.8164,31.7,42,99,12.06,SO,1690878916
217,isangel,-19.55,169.2667,20.24,63,6,7.6,VU,1690879076
218,cascais,38.6979,-9.4215,23.09,79,40,9.39,PT,1690879076
219,antofagasta,-23.65,-70.4,16.6,85,55,0.6,CL,1690879076
220,yagodnoye,62.55,149.6667,12.77,65,100,0.84,RU,1690878917
221,general roca,-39.0333,-67.5833,15.35,51,0,8.72,AR,1690878917
222,angoche,-16.2325,39.9086,26.91,55,0,5.6,MZ,1690879077
223,itaguai,-22.8522,-43.7753,16.79,94,20,1.54,BR,1690878917
224,wajir,1.7471,40.0573,28.98,51,75,6.69,KE,1690879077
225,chenghai,23.4632,116.768,30.95,70,20,5.0,CN,1690879077
226,jega,12.2175,4.3792,26.36,73,98,6.93,NG,1690879077
227,airai,-8.9266,125.4092,18.24,66,19,2.35,TL,1690879078
228,rocha,-34.4833,-54.3333,10.12,89,45,3.03,UY,1690879078
229,tocopilla,-22.092,-70.1979,16.82,73,31,1.47,CL,1690879078
230,tuatapere,-46.1333,167.6833,5.76,93,100,12.51,NZ,1690879078
231,vryburg,-26.9566,24.7284,12.31,20,0,4.85,ZA,1690879079
232,bethel,41.3712,-73.414,18.17,76,0,1.54,US,1690879079
233,berdigestyakh,62.0989,126.6992,19.27,42,93,3.11,RU,1690878919
234,biala podlaska,52.0324,23.1165,25.35,44,95,7.5,PL,1690879079
235,aklavik,68.2191,-135.0107,16.99,72,83,1.48,CA,1690879079
236,port hedland,-20.3167,118.5667,29.03,30,75,7.2,AU,1690879079
237,alanya,36.5438,31.9998,31.07,58,0,3.37,TR,1690879080
238,mareeba,-17.0,145.4333,19.69,86,30,2.01,AU,1690879080
239,eydhafushi,5.1033,73.0708,28.24,75,100,5.5,MV,1690879080
240,kurilsk,45.2333,147.8833,16.45,87,84,2.93,RU,1690879080
241,tongling,30.95,117.7833,30.54,77,14,5.63,CN,1690878921
242,samarai,-10.6167,150.6667,25.22,82,63,8.83,PG,1690879081
243,lagoa,39.05,-27.9833,23.18,93,21,5.16,PT,1690879081
244,salalah,17.0151,54.0924,27.05,89,100,4.63,OM,1690879081
245,bereda,43.2686,-7.5406,19.21,93,100,1.45,ES,1690879081
246,tautira,-17.7333,-149.15,25.77,75,71,6.53,PF,1690879081
247,buala,-8.145,159.5921,25.89,87,93,4.99,SB,1690879082
248,port lavaca,28.615,-96.6261,28.36,90,0,2.06,US,1690879082
249,east london,-33.0153,27.9116,15.52,47,0,8.75,ZA,1690879082
250,havoysund,70.9963,24.6622,11.13,81,100,6.18,NO,1690878923
251,olathe,38.8814,-94.8191,23.41,92,0,2.57,US,1690879083
252,mahon,39.8885,4.2658,28.31,74,20,3.6,ES,1690879083
253,fuyu,45.1833,124.8167,25.03,83,100,4.64,CN,1690878924
254,carman,49.4992,-98.0016,19.19,77,39,3.6,CA,1690878924
255,deputatskiy,69.3,139.9,11.81,54,38,7.75,RU,1690879083
256,henties bay,-22.116,14.2845,23.46,20,0,6.68,NA,1690879083
257,marawi,7.9986,124.2928,25.51,63,67,2.56,PH,1690879084
258,lujan,-34.5703,-59.105,16.64,93,0,0.89,AR,1690879084
259,san patricio,28.017,-97.5169,29.36,90,99,2.34,US,1690879085
260,verkhoyansk,67.5447,133.385,19.94,36,31,3.53,RU,1690879085
261,half moon bay,37.4636,-122.4286,16.29,87,100,2.57,US,1690879085
262,kaitangata,-46.2817,169.8464,7.65,65,8,11.61,NZ,1690879085
263,tasiilaq,65.6145,-37.6368,2.09,85,44,1.64,GL,1690879085
264,klyuchi,52.2667,79.1667,31.92,28,53,4.41,RU,1690878926
265,rafaela,-31.2503,-61.4867,18.32,70,0,1.79,AR,1690879086
266,port blair,11.6667,92.75,31.02,74,40,8.75,IN,1690878926
267,cockburn town,21.4612,-71.1419,28.63,77,100,7.08,TC,1690879086
268,horni plana,48.7674,14.0326,16.73,97,100,4.53,CZ,1690878926
269,broken hill,-31.95,141.4333,13.26,58,0,3.8,AU,1690878833
270,dunedin,-45.8742,170.5036,10.45,39,0,4.47,NZ,1690878879
271,beloha,-25.1667,45.05,22.13,64,96,6.76,MG,1690879088
272,aden,12.7794,45.0367,31.12,71,40,3.73,YE,1690879088
273,karachev,53.1229,34.9852,23.34,64,100,1.9,RU,1690878928
274,kirksville,40.1948,-92.5833,20.03,98,0,2.57,US,1690879088
275,guerrero negro,27.9769,-114.0611,21.62,77,8,2.96,MX,1690879088
276,havelock,34.8791,-76.9013,25.52,88,0,0.0,US,1690879088
277,bilibino,68.0546,166.4372,10.58,72,99,0.02,RU,1690879089
278,zhangye,38.9342,100.4517,26.9,37,88,3.79,CN,1690878955
279,saint-louis,16.3333,-15.0,25.8,70,20,6.14,SN,1690879089
280,rakiv lis,51.6217,24.9243,23.84,53,69,5.01,UA,1690878929
281,vanimo,-2.6741,141.3028,26.93,90,63,2.57,PG,1690879089
282,gunjur,13.2019,-16.7339,26.04,94,75,0.0,GM,1690878930
283,bulembu,-25.9667,31.1333,12.55,69,89,2.17,SZ,1690879090
284,mbini,1.574,9.6134,25.67,74,100,4.31,GQ,1690879090
285,santa cruz,-17.8,-63.1667,19.7,83,0,1.54,BO,1690879090
286,krasnoselkup,65.7,82.4667,27.99,48,0,2.96,RU,1690879091
287,vilhena,-12.7406,-60.1458,19.61,52,9,0.99,BR,1690879091
288,mandera,3.9366,41.867,32.4,32,55,9.67,KE,1690879091
289,saint george,37.1041,-113.5841,23.86,70,75,3.09,US,1690879092
290,amapa,1.0,-52.0,21.2,100,33,0.47,BR,1690878932
291,marigot,18.0667,-63.0833,27.8,94,75,1.54,MF,1690878833
292,bathsheba,13.2167,-59.5167,27.34,89,40,2.57,BB,1690879092
293,sao joao nepomuceno,-21.54,-43.0106,13.68,96,1,0.31,BR,1690878933
294,pirapemas,-3.7267,-44.2233,21.56,99,50,1.25,BR,1690879093
295,olafsvik,64.8945,-23.7142,10.94,84,25,3.42,IS,1690878935
296,praia da vitoria,38.7333,-27.0667,24.31,94,20,3.16,PT,1690879094
297,grants,35.1473,-107.8514,18.13,55,75,3.09,US,1690879094
298,novoagansk,61.9449,76.6625,27.85,49,98,5.71,RU,1690879094
299,ambon,-3.6954,128.1814,27.71,95,75,1.54,ID,1690878935
300,karasuk,53.7377,78.0403,29.79,34,43,2.87,RU,1690879094
301,severobaykalsk,55.65,109.3167,20.93,56,99,1.94,RU,1690879095
302,tiarei,-17.5333,-149.3333,23.01,74,69,6.57,PF,1690878936
303,san felipe,10.3399,-68.7425,22.57,91,37,2.2,VE,1690879095
304,awbari,26.5921,12.7805,35.16,20,1,6.04,LY,1690879095
305,pergine valsugana,46.065,11.238,23.35,80,100,10.29,IT,1690879095
306,terney,45.0503,136.6092,26.59,67,98,4.2,RU,1690879095
307,turukhansk,65.8167,87.9833,30.58,33,0,4.06,RU,1690879095
308,dhoraji,21.7333,70.45,30.42,68,95,9.88,IN,1690878937
309,brawley,32.9787,-115.5303,31.14,45,35,1.15,US,1690878937
310,zholymbet,51.7433,71.7122,30.57,27,4,2.02,KZ,1690878937
311,tynda,55.1667,124.7167,16.62,88,98,1.58,RU,1690879096
312,sisimiut,66.9395,-53.6735,5.18,95,100,1.88,GL,1690878938
313,dudinka,69.4058,86.1778,27.83,48,5,3.97,RU,1690878939
314,punto fijo,11.6956,-70.1996,27.52,73,91,7.39,VE,1690878938
315,ixtapa,20.7,-105.2,27.9,88,100,1.48,MX,1690879097
316,partur,19.6,76.2167,29.88,62,81,8.9,IN,1690879097
317,redmond,47.674,-122.1215,16.94,79,0,0.89,US,1690879097
318,agar,23.7,76.0167,28.64,70,95,8.59,IN,1690878939
319,san quintin,30.4833,-115.95,21.54,77,3,0.46,MX,1690878939
320,victoria,22.2855,114.1577,33.31,77,100,3.58,HK,1690878887
321,rundu,-17.9333,19.7667,19.82,9,0,5.61,NA,1690879098
322,elko,41.0002,-115.5012,21.47,28,97,0.89,US,1690879099
323,atherton,53.5237,-2.4935,16.31,89,98,1.79,GB,1690878940
324,ndele,8.4109,20.6473,21.09,99,100,2.92,CF,1690878940
325,praia,14.9215,-23.5087,26.3,83,40,1.03,CV,1690879099
326,kudahuvadhoo,2.6708,72.8944,28.38,75,54,4.19,MV,1690879099
327,uige,-7.6087,15.0613,29.08,31,68,1.68,AO,1690878941
328,luckenwalde,52.0833,13.1667,20.52,87,100,2.24,DE,1690878941
329,dolgorukovo,52.3195,38.3453,24.35,63,100,2.81,RU,1690879100
330,brooks,50.5834,-111.8851,16.13,80,0,2.06,CA,1690879100
331,tefe,-3.3542,-64.7114,22.58,91,78,0.29,BR,1690879100
332,hami,42.8,93.45,35.67,16,0,5.35,CN,1690879100
333,toora-khem,52.4675,96.11,30.67,28,85,2.1,RU,1690878943
334,jaswantnagar,26.8786,78.9028,37.0,41,81,3.76,IN,1690879101
335,pontes e lacerda,-15.2261,-59.3353,20.31,53,4,0.86,BR,1690879101
336,hammerfest,70.6634,23.6821,16.25,67,75,4.12,NO,1690879101
337,lompoc,34.6391,-120.4579,13.62,96,100,2.06,US,1690879101
338,ozatlan,13.3833,-88.5,23.43,94,98,1.91,SV,1690879101
339,dybbol,54.9108,9.736,17.14,94,75,5.14,DK,1690879102
340,pangody,65.85,74.4859,24.64,51,74,4.26,RU,1690879102
341,srednekolymsk,67.45,153.6833,13.02,61,29,4.74,RU,1690879102
342,grand gaube,-20.0064,57.6608,25.77,68,32,3.13,MU,1690878945
343,los llanos de aridane,28.6585,-17.9182,23.4,73,0,7.2,ES,1690879103
344,acari,-15.4311,-74.6158,19.12,71,58,0.9,PE,1690879103
345,muriti,-1.9833,32.9167,24.71,49,12,4.53,TZ,1690878945
346,challans,46.8436,-1.8749,18.87,71,28,7.05,FR,1690878973
347,bafq,31.6128,55.4107,38.77,6,0,5.74,IR,1690878946
348,goderich,43.7501,-81.7165,13.84,93,21,1.03,CA,1690878946
349,nakamura,32.9833,132.9333,28.13,83,22,2.35,JP,1690878896
350,taoudenni,22.6783,-3.9836,42.26,8,1,0.72,ML,1690879104
351,pringsewu,-5.3582,104.9744,28.57,71,73,1.55,ID,1690878946
352,umea,63.8284,20.2597,16.96,77,75,4.63,SE,1690878946
353,csurgo,46.2531,17.1006,24.47,47,99,4.46,HU,1690879105
354,keflavik,64.0049,-22.5624,10.24,93,100,1.03,IS,1690879044
355,kansanshi,-12.0951,26.4273,24.28,27,1,4.26,ZM,1690879105
356,cururupu,-1.8283,-44.8683,22.86,97,17,1.31,BR,1690879105
357,humberto de campos,-2.5983,-43.4611,23.07,95,68,2.48,BR,1690879105
358,stolin,51.8912,26.846,23.76,58,84,2.73,BY,1690878948
359,el alto,-4.2714,-81.2147,19.59,84,20,2.07,PE,1690879106
360,magangue,9.242,-74.7547,23.58,98,100,1.94,CO,1690878948
361,manta,-0.95,-80.7333,23.88,78,20,2.57,EC,1690879106
362,puerto madryn,-42.7692,-65.0385,13.34,44,0,18.02,AR,1690878949
363,bandarbeyla,9.4942,50.8122,32.19,45,100,11.55,SO,1690879107
364,saldanha,-33.0117,17.9442,12.03,59,7,3.47,ZA,1690878904
365,adrar,20.5022,-10.0711,34.17,24,0,8.95,MR,1690878950
366,lure,47.75,6.5,17.65,88,100,8.23,FR,1690878950
367,faya,18.3851,42.4509,29.29,16,85,5.33,SA,1690879107
368,mabaruma,8.2,-59.7833,22.54,99,36,0.96,GY,1690879107
